Title,Genre,Artist,id,title_spotify,album,sp_popularity,colab,release_date,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,key,mode,tempo,duration
The Swan,classical,Camille Saint-Saëns,0jOnZhF75V68VsBObWx2XO,"The Carnival of the Animals, R. 125: XIII. The Swan (Arr. for Cello and Piano)",Songs from the Arc of Life,65.0,Y,2015-09-18,0.169,0.0161,-31.034,0.0442,0.986,0.86,0.0805,0.0573,9.0,0.0,128.143,174267.0
Karma,r&b,Taylor Swift,7KokYm8cMIXCsGVmUvKtqf,Karma,Midnights,77.0,N,2022-10-21,0.64,0.619,-7.108,0.065,0.062,0.0,0.475,0.121,8.0,1.0,90.008,204852.0
Somebody To Love - Remastered 2011,r&b,Queen,6cFZ4PLC19taNlpl9pbGMf,Somebody To Love - Remastered 2011,A Day At The Races (Deluxe Remastered Version),66.0,N,1976-12-10,0.497,0.693,-7.024,0.0565,0.19,0.0,0.215,0.358,8.0,1.0,111.539,296493.0
Same Old Love,r&b,Selena Gomez,1BZG99C7Co1r6QUC3zaS59,Same Old Love,Revival (Deluxe),65.0,N,2015-10-09,0.672,0.593,-4.01,0.0304,0.0223,0.0,0.214,0.438,11.0,0.0,98.02,229080.0
Hands to Myself,r&b,Selena Gomez,1LoriJC05IrHIDwj3q0KC1,Hands To Myself,Revival (Deluxe),61.0,N,2015-10-09,0.811,0.507,-7.161,0.117,0.0146,2.14e-06,0.342,0.438,5.0,0.0,111.016,200680.0
Poison Tree,r&b,Grouper,6Q5uDNuuFYa8ToL3CCoHPC,Poison Tree,Inca Ore / Grouper,76.0,N,2008-06-03,0.224,0.139,-22.587,0.0354,0.961,0.913,0.108,0.213,11.0,1.0,111.316,196893.0
Tamale,r&b,"Tyler, the Creator",60b6B2ULC85t4Y5IjZvP7A,Tamale,Wolf,60.0,N,2013-04-01,0.742,0.93,-7.207,0.0977,0.0557,0.000242,0.272,0.967,11.0,1.0,129.986,166347.0
Kill Em With Kindness,r&b,Selena Gomez,1QNoKVgA758HFLu3TW2q7R,Kill Em With Kindness,Revival (Deluxe),54.0,N,2015-10-09,0.757,0.884,-5.488,0.0404,0.00789,5.87e-05,0.0973,0.399,10.0,0.0,120.013,217907.0
Bad (feat. Vassy) - radio edit,r&b,David Guetta,06dT0EYXrhRQV1MsvWhNGv,Bad (feat. Vassy) - Radio Edit,Listen (Deluxe),51.0,Y,2014-11-10,0.614,0.972,-3.927,0.088,0.00125,0.0186,0.328,0.411,5.0,0.0,127.966,170625.0
Gone,r&b,Rosé,2dHoVW9AxJVSRebPRyV2aA,Gone,R,64.0,N,2021-03-12,0.647,0.377,-6.003,0.0375,0.594,0.0,0.0768,0.653,6.0,1.0,79.936,207164.0
ACID RAIN,r&b,Lorn,7pM9cLbrgRGX1hHElTX92m,Acid Rain,The Maze To Nowhere,60.0,N,2015,0.408,0.497,-7.515,0.0352,0.0165,0.603,0.414,0.0961,11.0,0.0,55.803,172473.0
Jungle,r&b,Tash Sultana,0Lpk5WlrFnM0Igck2PH12t,Jungle,Jungle,55.0,N,2016-12-19,0.589,0.697,-5.877,0.0294,0.269,9.89e-05,0.0881,0.497,1.0,0.0,145.984,315599.0
Thinking 'Bout You,r&b,Dua Lipa,4Wmjt3ICd1G0geHb2Loho1,Thinking 'Bout You,Thinking 'Bout You,50.0,N,2017-01-06,0.802,0.481,-5.132,0.043,0.0856,0.0,0.152,0.468,4.0,0.0,90.973,171947.0
Ol' 55,r&b,Tom Waits,7qbLE7ssJcnWD6EO7My847,Ol' 55,Closing Time (Remastered),48.0,N,1973-03-06,0.492,0.44,-11.461,0.0327,0.806,0.00107,0.165,0.336,6.0,1.0,110.954,236480.0
Anyone Who Knows What Love Is (Will Understand),r&b,Irma Thomas,5GWCndQ8ykzf6rYRvwrFcj,Anyone Who Knows What Love Is (Will Understand),Take A Look,57.0,N,1966-01-01,0.595,0.279,-12.794,0.0306,0.838,0.00605,0.0841,0.212,2.0,1.0,92.345,176080.0
10 d E A T h b R E a s T ⚄ ⚄,r&b,Bon Iver,0IiKAVTo9uL6UpiC9FYWkI,10 d E A T h b R E a s T ⚄ ⚄,"22, A Million",45.0,N,2016-09-30,0.69,0.789,-7.031,0.157,0.302,0.113,0.0532,0.73,8.0,0.0,109.202,144000.0
Rachel,r&b,Sleigh Bells,7BRqd2orsuLNjryHHmOgmk,Rachel,Treats,24.0,N,2010-05-11,0.224,0.61,-4.552,0.0361,0.00828,0.0,0.133,0.35,5.0,0.0,183.091,139107.0
Some Things Last a Long Time,r&b,Daniel Johnston,0vzWUTqv0hDXJsH2fUrNlJ,Some Things Last a Long Time,1990,41.0,Y,1990-01-01,0.497,0.0743,-15.137,0.0387,0.959,0.0903,0.129,0.205,0.0,1.0,79.67,294332.0
Notion,r&b,Tash Sultana,7Fg50FScidbzY259bHOe5W,Notion,Notion - EP,49.0,N,2016-12-19,0.352,0.414,-6.6,0.0254,0.393,0.00839,0.185,0.0672,4.0,0.0,60.27,341000.0
Lionsong,r&b,Björk,2hJgYSiWBbvk3zDOnYz2Cn,Lionsong,Vulnicura,28.0,N,2015-01-20,0.297,0.295,-13.287,0.0444,0.567,1.39e-06,0.165,0.0537,7.0,0.0,138.565,368688.0
Desire,r&b,Meg Myers,3kG6GPkDkV2RQTm9QdYN9Z,Desire,Sorry,58.0,N,2015-09-18,0.617,0.609,-5.345,0.0274,0.00468,0.0906,0.109,0.173,7.0,1.0,131.91,284333.0
I Won't Hurt You,r&b,The West Coast Pop Art Experimental Band,59v1okflZrEkeb9JrxfJvX,I Won't Hurt You,Part One,50.0,N,1967,0.461,0.0972,-26.134,0.0402,0.97,0.114,0.112,0.774,9.0,1.0,130.691,144440.0
Another World,r&b,Gojira,7cRGgrQ9eg8V8A4FsSj020,Another World,Fortitude,54.0,N,2021-04-30,0.351,0.877,-5.044,0.0422,0.00121,0.783,0.119,0.238,7.0,0.0,169.999,264947.0
Revival,r&b,Selena Gomez,1BZG99C7Co1r6QUC3zaS59,Same Old Love,Revival (Deluxe),65.0,N,2015-10-09,0.672,0.593,-4.01,0.0304,0.0223,0.0,0.214,0.438,11.0,0.0,98.02,229080.0
Just One of the Guys,r&b,Jenny Lewis,5YdrHBh16li6d7U5mdTwUb,Just One of the Guys,The Voyager,37.0,N,2014-07-25,0.325,0.663,-4.451,0.0338,0.00121,0.0,0.188,0.366,9.0,1.0,135.94,231827.0
End of the Affair,r&b,Ben Howard,0vqXG66zkKynUS0aJs9FyR,End Of The Affair,I Forget Where We Were,45.0,N,2014-10-20,0.369,0.367,-10.665,0.0369,0.512,0.203,0.11,0.0496,2.0,0.0,136.095,466040.0
"Broken Home, Broken Heart",r&b,Hüsker Dü,2Twggsyx88sGi0kDLdjhQF,"Broken Home, Broken Heart",Zen Arcade,27.0,N,1984-07-01,0.354,0.987,-10.938,0.0632,0.00054,9.22e-05,0.363,0.223,11.0,0.0,117.112,124507.0
Devil Town,r&b,Daniel Johnston,5RshMyWBu8HtHOC1pUNaqf,Devil Town,1990,29.0,N,1990-01-01,0.592,0.0663,-14.035,0.295,0.964,0.0,0.105,0.322,10.0,0.0,87.365,65891.0
Lost,r&b,Gorilla Zoe,6XIiqQp6A0gzaIEaDszkZX,Lost,Don't Feed Da Animals,49.0,N,2009-03-16,0.722,0.564,-7.476,0.0668,0.0162,0.176,0.351,0.553,0.0,0.0,136.039,287187.0
Reflecting Light,r&b,Sam Phillips,7DDcNAaRQm1cyDeJ4yLafO,Reflecting Light,A Boot and a Shoe,59.0,N,2004-04-27,0.475,0.229,-13.643,0.0289,0.84,0.0145,0.106,0.107,8.0,0.0,106.755,197067.0
Lee Majors Come Again,r&b,Beastie Boys,2svdoMYMLXc0LZIo2pgmuX,Lee Majors Come Again,Hot Sauce Committee (Pt. 2),35.0,N,2011-05-03,0.486,0.929,-3.917,0.0768,7.76e-05,0.109,0.629,0.268,1.0,1.0,110.073,223307.0
"Orchestral Suite No. 3 in D major, BWV 1068: II. Air",r&b,Johann Sebastian Bach,6pt8oGfiwgidz03nGw1zTb,"Orchestral Suite No. 3 in D Major, BWV 1068: II. Air ""on the G String""",Karajan A-Z: Adam - Bartók,51.0,Y,2024-09-27,0.168,0.0698,-27.22,0.0471,0.924,0.934,0.126,0.047,2.0,1.0,112.654,360493.0
Ritual Spirit,r&b,Massive Attack,4m5dfaOotE7nlXCc5rRdDQ,Ritual Spirit,Ritual Spirit,32.0,Y,2016-01-28,0.532,0.64,-9.271,0.0455,0.000101,0.39,0.121,0.188,7.0,1.0,195.956,235385.0
I Do,r&b,Susie Suh,1rZFC696WndvqvpFfjr4Wu,I Do,The Bakman Tapes,46.0,N,2011-12-18,0.766,0.191,-12.606,0.0394,0.932,7.95e-06,0.261,0.262,7.0,1.0,104.03,212017.0
Poor You,r&b,Daniel Johnston,0622aJvNezLY5HG5MEnXoF,Poor You,Hi How Are You,28.0,N,1983-09-01,0.714,0.0901,-22.675,0.68,0.995,0.0463,0.144,0.48,5.0,1.0,100.341,123040.0
The Beer,r&b,Kimya Dawson,18nZKLSzod0avci3LDix4E,The Beer,My Cute Fiend Sweet Princess,51.0,N,2013-11-12,0.65,0.629,-9.277,0.216,0.884,0.0,0.138,0.697,9.0,1.0,141.047,191533.0
Despair Came Knocking,r&b,Daniel Johnston,4DydlXoJFPXvcCq9Zyq1v2,Despair Came Knocking,Hi How Are You,31.0,N,1983-09-01,0.645,0.122,-17.652,0.0869,0.995,0.972,0.107,0.674,4.0,1.0,136.392,164386.0
I've Been Trying,r&b,DJ Shadow,2WKwXXqu98pcQDtVWPXMnW,I've Been Trying,"The Less You Know, The Better",24.0,N,2011-01-01,0.544,0.666,-10.137,0.0467,0.554,0.00639,0.349,0.555,2.0,1.0,170.659,192656.0
Life In Vain,r&b,Daniel Johnston,0G0355QSDEAcsKdV3i0a0V,Life in Vain,Fun,33.0,N,1994-06-28,0.375,0.389,-9.411,0.0324,0.341,9.58e-06,0.0984,0.4,7.0,1.0,77.523,201781.0
Big Business Monkey,r&b,Daniel Johnston,2PKAD6UaIpTBB6y6lvs0pt,Big Business Monkey,Hi How Are You,28.0,N,1983-09-01,0.709,0.357,-17.757,0.0856,0.984,0.895,0.109,0.98,1.0,1.0,129.035,122105.0
The Price,r&b,Leprous,134I0qT6UrkDjhbI6bx0x3,The Price,The Congregation,42.0,N,2015-06-02,0.37,0.713,-8.041,0.0581,0.0126,0.111,0.0928,0.54,8.0,1.0,151.966,314133.0
Try to Make a Fire Burn Again,r&b,Dawn Landes,7BIcO9nvZ2AdIfhZcXnTS7,Try to Make a Fire Burn Again,Bluebird,36.0,N,2014-02-18,0.498,0.167,-16.381,0.0282,0.896,0.00431,0.136,0.352,0.0,1.0,85.35,182374.0
"Read, Eat, Sleep",r&b,The Books,0vcIZdptFfPNYZSLCUDJ9j,"Read, Eat, Sleep",Thought For Food (Remastered),17.0,N,2011-01-25,0.745,0.445,-16.596,0.0726,0.452,0.217,0.106,0.0557,0.0,1.0,120.071,229227.0
Bedside Table,r&b,Bedhead,36OyhDiWgD0UrbhVobVJX1,Bedside Table,WhatFunLifeWas,33.0,N,2013-11-14,0.34,0.477,-9.684,0.0288,0.799,0.18,0.107,0.271,9.0,1.0,87.561,284301.0
Virginal I,r&b,Tim Hecker,5xMjc5pkrLMF3MWL3szeF0,Virginal I,Virgins,21.0,N,2013-10-14,0.471,0.539,-10.291,0.0309,0.0367,0.555,0.459,0.039,4.0,0.0,119.376,376796.0
Everyone's Got Something,r&b,Perrin Lamb,6fRziw5GRjH4QiSdJIWpQU,Everyone’s Got Something,Back to You,30.0,N,2012-02-14,0.568,0.278,-16.108,0.0268,0.824,0.00112,0.113,0.265,6.0,1.0,79.121,222532.0
Fondu Au Noir,r&b,Cœur de Pirate,3mTULqVowszD0alyqki3ZQ,Fondu au noir,Cœur de pirate,29.0,N,2008-09-16,0.398,0.274,-9.447,0.0393,0.921,0.000143,0.0961,0.367,9.0,0.0,157.844,173160.0
Drown,r&b,Marika Hackman,1fw7XQl4AGxM8ppPAR6y2i,Drown,We Slept at Last,30.0,N,2015-02-16,0.287,0.243,-15.119,0.0341,0.867,0.283,0.114,0.0383,7.0,1.0,117.886,231671.0
Mind Your Manners - feat. Icona Pop,r&b,Chiddy Bang,1hPajXXDa8dfTFABNZe2Ri,Mind Your Manners (feat. Icona Pop),Breakfast,42.0,Y,2010-09-13,0.696,0.853,-4.122,0.237,0.00399,0.0,0.0843,0.685,2.0,1.0,92.976,196653.0
Você Não Entende Nada,r&b,Gal Costa,7EcsLU7s0Tvi6oSNuap6rF,Você Não Entende Nada,Gal Costa,21.0,N,1994-01-01,0.558,0.551,-16.531,0.0739,0.714,0.000821,0.0677,0.867,11.0,1.0,147.952,228640.0
Leave the Light On - Demo,r&b,Marissa Nadler,4pCeGOpnyFmCUz0bFYLplA,Leave the Light On - Demo,Before July: Demos & Unreleased Songs,19.0,N,2014-11-18,0.394,0.194,-10.039,0.0348,0.98,0.0,0.106,0.185,5.0,1.0,119.311,192999.0
Roxanne,reggae,The Police,3EYOJ48Et32uATr9ZmLnAo,Roxanne,Outlandos D'Amour - Remastered 2003,79.0,N,1978-11-02,0.618,0.748,-8.905,0.358,0.0384,4.1e-06,0.0473,0.663,0.0,1.0,134.114,191947.0
Santeria,reggae,Sublime,2hnMS47jN0etwvFPzYk11f,Santeria,Sublime,78.0,N,1996-07-30,0.682,0.765,-5.021,0.0395,0.0268,3.42e-05,0.188,0.567,1.0,0.0,90.807,182747.0
Woman,reggae,Doja Cat,6Uj1ctrBOjOas8xZXGqKk4,Woman,Planet Her,81.0,N,2021-06-25,0.824,0.764,-4.175,0.0854,0.0888,0.00294,0.117,0.881,5.0,0.0,107.998,172627.0
Doin' Time,reggae,Lana Del Rey,0Oqc0kKFsQ6MhFOLBNZIGX,Doin' Time,Norman Fucking Rockwell!,78.0,N,2019-08-30,0.641,0.559,-11.132,0.0355,0.404,0.00402,0.0937,0.523,7.0,0.0,144.982,202193.0
Beautiful Girls,reggae,Sean Kingston,1hGy2eLcmC8eKx7qr1tOqx,Beautiful Girls,Beautiful Girls,77.0,N,2007-07-23,0.762,0.661,-6.075,0.0687,0.15,0.0,0.256,0.769,1.0,0.0,130.009,225373.0
Message in a Bottle,reggae,The Police,1oYYd2gnWZYrt89EBXdFiO,Message In A Bottle,Reggatta De Blanc - Remastered 2003,75.0,N,1979-10-02,0.577,0.808,-7.04,0.039,0.0338,1.33e-05,0.221,0.869,1.0,0.0,151.008,290280.0
The Lazy Song,reggae,Bruno Mars,1ExfPZEiahqhLyajhybFeS,The Lazy Song,Doo-Wops & Hooligans,72.0,N,2010-05-11,0.794,0.711,-5.124,0.0699,0.3,0.0,0.0955,0.955,8.0,0.0,174.915,189109.0
Ride,reggae,Twenty One Pilots,2Z8WuEywRWYTKe1NybPQEW,Ride,Blurryface,81.0,N,2015-05-15,0.645,0.713,-5.355,0.0393,0.00835,0.0,0.113,0.566,6.0,1.0,74.989,214507.0
Three Little Birds,reggae,Bob Marley & The Wailers,7vggqxNKwd6xdRoYS0pQtM,Three Little Birds,Legend - The Best Of Bob Marley And The Wailers,67.0,N,2002-01-01,0.825,0.494,-10.486,0.0699,0.00956,5.82e-06,0.0361,0.627,9.0,1.0,74.103,180440.0
Could You Be Loved,reggae,Bob Marley & The Wailers,5O4erNlJ74PIF6kGol1ZrC,Could You Be Loved,Uprising,80.0,N,1980-06-10,0.916,0.72,-8.548,0.1,0.36,0.00016,0.0958,0.761,0.0,1.0,103.314,237000.0
What I Got,reggae,Sublime,3B4q6KbHbGV51HO3GznBFF,What I Got,Sublime,75.0,N,1996-07-30,0.804,0.696,-7.47,0.0899,0.00877,0.000985,0.314,0.657,7.0,1.0,95.721,170907.0
Rude,reggae,Magic!,6RtPijgfPKROxEzTHNRiDp,Rude,Don't Kill the Magic,82.0,N,2014-06-25,0.773,0.758,-4.993,0.0381,0.0422,0.0,0.305,0.925,1.0,1.0,144.033,224840.0
Is This Love,reggae,Bob Marley & The Wailers,6JRLFiX9NJSoRRKxowlBYr,Is This Love,Kaya,76.0,N,1978,0.776,0.561,-8.375,0.103,0.111,0.0,0.067,0.743,6.0,0.0,122.246,232200.0
Temperature,reggae,Sean Paul,0k2GOhqsrxDTAbFFSdNJjT,Temperature,The Trinity,80.0,N,2005-09-26,0.951,0.6,-4.675,0.0685,0.106,0.0,0.0712,0.822,0.0,0.0,125.04,218573.0
Hotel California - 2013 Remaster,reggae,Eagles,40riOy7x9W7GXjyGp4pjAv,Hotel California - 2013 Remaster,Hotel California (2013 Remaster),82.0,N,1976-12-08,0.579,0.508,-9.484,0.027,0.00574,0.000494,0.0575,0.609,2.0,1.0,147.125,391376.0
It Wasn't Me,reggae,Shaggy,3WkibOpDF7cQ5xntM1epyf,It Wasn't Me,Hot Shot,77.0,Y,2000-08-08,0.853,0.606,-4.596,0.072,0.0561,0.0,0.313,0.653,0.0,1.0,94.753,227600.0
Side To Side,reggae,Ariana Grande,43bCmCI0nSgcT7QdMXY6LV,Side To Side,Dangerous Woman,66.0,Y,2016-05-20,0.649,0.736,-5.84,0.23,0.0528,0.0,0.235,0.612,6.0,0.0,159.182,226160.0
Jamming,reggae,Bob Marley & The Wailers,4aUCPal9bxTnQkEfdIY6sG,Jamming,Legend - The Best Of Bob Marley And The Wailers,64.0,N,2002-01-01,0.941,0.462,-11.029,0.282,0.129,9.91e-05,0.114,0.758,11.0,0.0,123.674,211427.0
Just Friends,reggae,Amy Winehouse,2i1S5Dq9SaFGcnw8mnb4ks,Just Friends,Back To Black,46.0,N,2006-10-27,0.754,0.806,-4.767,0.0388,0.0346,0.0274,0.204,0.532,9.0,1.0,95.506,191840.0
Buffalo Soldier,reggae,Bob Marley & The Wailers,0QyBdoz2JktWEo111DBEx9,Buffalo Soldier,Legend - The Best Of Bob Marley And The Wailers,61.0,N,2002-01-01,0.93,0.462,-8.643,0.277,0.128,9.99e-06,0.175,0.777,9.0,1.0,124.067,257787.0
Billionaire (feat. Bruno Mars),reggae,Travie McCoy,2M9ULmQwTaTGmAdXaXpfz5,Billionaire (feat. Bruno Mars),Billionaire (feat. Bruno Mars),74.0,Y,2010-03-09,0.633,0.673,-6.403,0.258,0.297,0.0,0.206,0.659,6.0,0.0,86.776,211160.0
Get Busy,reggae,Sean Paul,6bK9BH9Ts8Gj5JFvnQkzak,Get Busy,Dutty Rock (20th Anniversary),75.0,N,2022-11-11,0.741,0.824,-4.143,0.0352,0.614,0.0,0.158,0.725,10.0,0.0,100.216,211666.0
Man Down,reggae,Rihanna,454h9zAIuTe1eJyw9iTnj4,Man Down,Loud,58.0,N,2010-11-16,0.479,0.906,-4.03,0.188,0.0406,0.0,0.051,0.536,0.0,0.0,155.887,266987.0
Amber,reggae,311,51UtgWS4z1eMPuLQOzPtNH,Amber,Greatest Hits '93 - '03,63.0,N,2004-06-08,0.659,0.727,-8.638,0.0455,0.119,0.00427,0.1,0.748,4.0,0.0,166.163,211080.0
Redemption Song,reggae,Bob Marley & The Wailers,7MKcM6TfaGKQVFfhstCbOw,Redemption Song,Legend - The Best Of Bob Marley And The Wailers,56.0,N,2002-01-01,0.666,0.261,-10.723,0.0399,0.586,0.0,0.079,0.7,0.0,1.0,116.113,227840.0
Wrong Way,reggae,Sublime,2PdIo7ewQPuAsP99LVg9uy,Wrong Way,Sublime,70.0,N,1996-07-30,0.69,0.681,-5.653,0.0379,0.0623,0.0,0.137,0.911,9.0,1.0,75.034,136147.0
Don't Stand So Close to Me,reggae,The Police,5veJDT0MLsLbhYsx42GXUD,Don't Stand So Close To Me,Zenyatta Mondatta - Remastered 2003,68.0,N,1980-10-03,0.799,0.506,-9.414,0.0606,0.0453,0.00107,0.0365,0.518,2.0,1.0,140.309,242667.0
Bloodline,reggae,Ariana Grande,2hloaUoRonYssMuqLCBLTX,bloodline,"thank u, next",75.0,N,2019-02-08,0.757,0.665,-5.194,0.0774,0.0815,0.000158,0.216,0.643,2.0,0.0,151.979,216893.0
Fire Burning,reggae,Sean Kingston,2oENJa1T33GJ0w8dC167G4,Fire Burning,Tomorrow,71.0,N,2009-09-07,0.839,0.804,-2.513,0.0329,0.0192,0.0,0.331,0.888,1.0,1.0,122.973,239987.0
You Da One,reggae,Rihanna,3Yt9lRtS5V4nbJnwcgFgvC,You Da One,Talk That Talk,70.0,N,2011-11-19,0.702,0.715,-5.377,0.0425,0.503,2.44e-05,0.126,0.863,5.0,0.0,127.048,200013.0
Cheerleader - Felix Jaehn Remix Radio Edit,reggae,Omi,023OVLNzXhX0j7CxswUt6D,Cheerleader - Felix Jaehn Remix Radio Edit,Me 4 U,65.0,N,2015-10-16,0.78,0.68,-6.081,0.0305,0.141,1.2e-05,0.138,0.594,4.0,1.0,118.026,180560.0
Walking on the Moon,reggae,The Police,62uLNJgVZaFiEiKV4LpoYJ,Walking On The Moon,Reggatta De Blanc - Remastered 2003,65.0,N,1979-10-02,0.514,0.34,-12.779,0.0537,0.00142,0.0173,0.213,0.269,0.0,1.0,145.992,300827.0
Waiting In Vain,reggae,Bob Marley & The Wailers,1waOqfmEVkVC8WhaIP6uGI,Waiting In Vain,Legend - The Best Of Bob Marley And The Wailers,56.0,N,2002-01-01,0.838,0.453,-11.536,0.31,0.025,2.42e-05,0.116,0.815,8.0,1.0,78.84,256493.0
Red Red Wine,reggae,UB40,4uOKFydzAejjSFqYbv1XPt,Red Red Wine,The Very Best Of,72.0,N,2000,0.857,0.468,-8.53,0.0476,0.00414,1.32e-05,0.269,0.843,1.0,1.0,89.119,183733.0
Can't Stand Losing You,reggae,The Police,6DjKJgwe9c90Bd2iya0fre,Can't Stand Losing You,Outlandos D'Amour - Remastered 2003,62.0,N,1978-11-02,0.737,0.789,-5.299,0.3,0.0701,0.000933,0.0518,0.891,2.0,0.0,141.969,178760.0
Doin' Time,reggae,Sublime,4eamJr2k9YDH8j58RSTmSc,Doin' Time,Sublime,68.0,N,1996-07-30,0.708,0.757,-5.121,0.0791,0.0362,0.0,0.17,0.552,7.0,1.0,80.976,253840.0
Bongo Bong,reggae,Manu Chao,00SmB7n85SKROGjybsyq5i,Bongo Bong,Clandestino,69.0,N,1998-10-06,0.755,0.545,-10.027,0.0646,0.944,0.000118,0.144,0.964,9.0,0.0,149.807,158427.0
Can't Remember to Forget You (feat. Rihanna),reggae,Shakira,2Sh4sAOfnSHEVKFyysxzat,Can't Remember to Forget You (feat. Rihanna),Shakira. (Expanded Edition),66.0,Y,2014-03-14,0.694,0.81,-3.556,0.0661,0.122,0.0,0.141,0.824,11.0,0.0,137.968,206867.0
Memories,reggae,Maroon 5,4cktbXiXOapiLBMprHFErI,Memories,JORDI (Deluxe),82.0,N,2021-06-11,0.775,0.327,-7.241,0.0557,0.841,0.0,0.0821,0.595,11.0,1.0,91.05,189486.0
Don't Worry Be Happy,reggae,Bobby McFerrin,4hObp5bmIJ3PP3cKA9K9GY,Don't Worry Be Happy,Simple Pleasures,67.0,N,1988-01-01,0.675,0.166,-22.602,0.171,0.88,7.14e-05,0.0461,0.747,11.0,1.0,68.837,294400.0
The Guns of Brixton,reggae,The Clash,1d0RJmZXAncCnTYHFlhaj4,The Guns of Brixton,London Calling (Expanded Edition),39.0,N,1979,0.745,0.604,-9.311,0.0949,0.00254,0.0492,0.116,0.648,7.0,1.0,96.514,189667.0
Badfish,reggae,Sublime,2fXLhLA7cPYEmQ1NbeAtBD,Badfish,40oz. To Freedom,50.0,N,1992-06-01,0.795,0.538,-5.648,0.051,0.0966,0.000111,0.385,0.645,2.0,1.0,92.796,185440.0
Welcome to Jamrock,reggae,Damian Marley,22AbXxQbMdVqEz7xJjhccG,Welcome To Jamrock,Welcome to Jamrock,68.0,N,2005-01-01,0.836,0.661,-6.502,0.338,0.0208,0.0,0.449,0.753,7.0,0.0,76.71,213200.0
AS IF IT'S YOUR LAST,reggae,BLACKPINK,4ZxOuNHhpyOj4gv52MtQpT,As If It's Your Last,As If It's Your Last,74.0,N,2017-06-22,0.786,0.852,-2.687,0.0813,0.0687,0.0,0.0759,0.455,8.0,1.0,125.036,213264.0
No Lie,reggae,Sean Paul,48QmG1dfvMuYLxMPt7KSRA,No Lie,Mad Love The Prequel,80.0,Y,2018-06-29,0.742,0.882,-2.862,0.117,0.0466,0.0,0.206,0.463,7.0,1.0,102.04,221176.0
Harleys in Hawaii,reggae,Katy Perry,3B4etxytImrRKQgV3XHjnR,Harleys In Hawaii,Smile,70.0,N,2020-08-28,0.721,0.751,-6.203,0.125,0.162,6.59e-06,0.118,0.738,10.0,0.0,140.095,185481.0
Smoke Two Joints,reggae,Sublime,0Jur3mZsQba3vqSpcmsOPm,Smoke Two Joints,40oz. To Freedom,64.0,N,1992-06-01,0.761,0.687,-6.185,0.131,0.00469,0.00532,0.245,0.316,7.0,1.0,95.089,173427.0
So Lonely,reggae,The Police,2wnsBaxrmkthIFAm6vqCuX,So Lonely,Outlandos D'Amour - Remastered 2003,65.0,N,1978-11-02,0.541,0.571,-8.308,0.16,0.0123,1.55e-06,0.0933,0.73,7.0,1.0,77.335,289587.0
Angel,reggae,Shaggy,7FDV5ELOJHCGLe52AnttEd,Angel,Hot Shot,74.0,Y,2000-08-08,0.74,0.766,-2.939,0.178,0.116,0.0,0.0406,0.807,6.0,1.0,170.531,235133.0
D'yer Mak'er,reggae,Led Zeppelin,5uUhS7XDkyycNa5FaNfPGT,D'yer Mak'er - Remaster,Houses of the Holy (Remaster),52.0,N,1973-03-28,0.525,0.929,-8.56,0.0784,0.262,2.9e-05,0.0754,0.556,9.0,0.0,163.503,262748.0
Hurt,country,Johnny Cash,28cnXtME493VX9NOw9cIUh,Hurt,American IV: The Man Comes Around,72.0,N,2002-01-01,0.534,0.392,-7.636,0.0267,0.649,0.000227,0.0948,0.163,9.0,0.0,90.379,216533.0
Love Story,country,Taylor Swift,1vrd6UOGamcKNGnSHJQlSt,Love Story,Fearless,63.0,N,2008-11-11,0.618,0.741,-3.95,0.031,0.17,0.0,0.0822,0.296,2.0,1.0,118.984,235267.0
You Belong with Me,country,Taylor Swift,1qrpoAMXodY6895hGKoUpA,You Belong With Me (Taylor’s Version),Fearless (Taylor's Version),80.0,N,2021-04-09,0.632,0.773,-4.856,0.0346,0.0623,0.0,0.0885,0.474,6.0,1.0,130.033,231124.0
Jolene,country,Dolly Parton,2SpEHTbUuebeLkgs9QB7Ue,Jolene,Jolene,70.0,N,1974-02-04,0.674,0.537,-10.971,0.0363,0.566,0.0,0.131,0.809,1.0,0.0,110.578,161533.0
Lover,country,Taylor Swift,1dGr1c8CrMLDpV6mPbImSI,Lover,Lover,85.0,N,2019-08-23,0.359,0.543,-7.582,0.0919,0.492,1.58e-05,0.118,0.453,7.0,1.0,68.534,221307.0
Ring of Fire,country,Johnny Cash,6YffUZJ2R06kyxyK6onezL,Ring of Fire,Ring Of Fire: The Best Of Johnny Cash,68.0,N,1963-08-06,0.659,0.585,-8.189,0.0288,0.623,0.000213,0.348,0.784,7.0,1.0,104.111,158427.0
Motion Sickness,country,Phoebe Bridgers,25Syi9wnfn6ZGAmiOBypPq,Motion Sickness,Stranger in the Alps (Deluxe Edition),63.0,N,2018-10-02,0.651,0.546,-9.021,0.0357,0.774,0.0437,0.0842,0.623,1.0,1.0,107.021,229760.0
Nonsense,country,Sabrina Carpenter,6dgUya35uo964z7GZXM07g,Nonsense,emails i can't send,87.0,N,2022-07-15,0.74,0.697,-4.912,0.034,0.0268,0.0,0.224,0.732,8.0,1.0,138.992,163648.0
We Are Never Ever Getting Back Together,country,Taylor Swift,7AEAGTc8cReDqcbPoY9gwo,We Are Never Ever Getting Back Together,Red,58.0,N,2012-10-22,0.628,0.676,-5.911,0.0916,0.00957,2.65e-05,0.102,0.75,7.0,1.0,85.984,191880.0
