Title,Artist,Genre,id,title_spotify,album,sp_popularity,colab,release_date,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,key,mode,tempo,duration
Lose Yourself,Eminem,Hip Hop,5Z01UMMf7V1o0MzF86s6WJ,Lose Yourself,Curtain Call: The Hits (Deluxe Edition),77.0,N,2005-12-06,0.692,0.744,-4.565,0.257,0.00868,0.000423,0.359,0.0612,2.0,1.0,171.374,326467.0
Juicy,The Notorious B.I.G.,Hip Hop,2AP7m2dBb8ULTx4Gc1rdMc,Juicy,Greatest Hits,56.0,N,2007-03-02,0.887,0.767,-4.311,0.295,0.38,0.0,0.0527,0.607,9.0,1.0,97.437,285760.0
C.R.E.A.M.,Wu-Tang Clan,Hip Hop,119c93MHjrDLJTApCVGpvx,C.R.E.A.M. (Cash Rules Everything Around Me),Enter The Wu-Tang (36 Chambers) [Expanded Edition],72.0,N,1993-11-09,0.512,0.514,-11.562,0.387,0.555,0.00958,0.126,0.565,11.0,0.0,181.033,252027.0
Nuthin' but a 'G' Thang,Dr. Dre ft. Snoop Dogg,Hip Hop,5Tbpp3OLLClPJF8t1DmrFD,"Nuthin' But A ""G"" Thang",The Chronic,76.0,Y,1992-12-15,0.669,0.821,-4.37,0.29,0.00182,0.0,0.147,0.684,11.0,0.0,94.895,237573.0
HUMBLE.,Kendrick Lamar,Hip Hop,7KXjTSCq5nL1LoYtL7XAwS,HUMBLE.,DAMN.,84.0,N,2017-04-14,0.908,0.621,-6.638,0.102,0.000282,5.39e-05,0.0958,0.421,1.0,0.0,150.011,177000.0
"Shook Ones, Pt. II",Mobb Deep,Hip Hop,33ZXjLCpiINn8eQIDYEPTD,"Shook Ones, Pt. II",The Infamous,74.0,N,1995-04-25,0.763,0.786,-6.472,0.229,0.0146,0.0114,0.0817,0.504,10.0,0.0,93.857,325507.0
Straight Outta Compton,N.W.A,Hip Hop,6KIKRz9eSTXdNsGUnomdtW,Straight Outta Compton,Straight Outta Compton,69.0,N,1988-08-08,0.834,0.878,-9.484,0.15,0.0461,0.0,0.334,0.418,8.0,1.0,102.848,258688.0
Fight The Power,Public Enemy,Hip Hop,1yo16b3u0lptm6Cs7lx4AD,Fight The Power,Fear Of A Black Planet,52.0,N,1990-04-10,0.797,0.582,-12.97,0.255,0.00484,2.04e-06,0.517,0.415,2.0,1.0,105.974,282640.0
Big Pimpin',JAY-Z ft. UGK,Hip Hop,7m97yKVzPpXV9Z4ezEziOD,Big Pimpin',Vol. 3... Life And Times Of S. Carter,66.0,Y,1999-12-28,0.88,0.814,-6.307,0.14,0.168,0.00672,0.0584,0.942,11.0,0.0,138.083,283067.0
Gin and Juice,Snoop Dogg,Hip Hop,39QBkWKnap8wRSW4WB9OK0,Gin and Juice,Doggystyle,72.0,N,1993-11-23,0.603,0.762,-7.744,0.285,0.0953,1.53e-05,0.478,0.379,4.0,0.0,94.726,211867.0
Sicko Mode,Travis Scott,Hip Hop,2xLMifQCjDGFmkHkpNLD9h,SICKO MODE,ASTROWORLD,81.0,N,2018-08-03,0.834,0.73,-3.714,0.222,0.00513,0.0,0.124,0.446,8.0,1.0,155.008,312820.0
Mo Money Mo Problems,The Notorious B.I.G.,Hip Hop,4INDiWSKvqSKDEu7mh8HFz,Mo Money Mo Problems (feat. Puff Daddy & Mase) - 2014 Remaster,Life After Death (2014 Remastered Edition),73.0,Y,1997-03-04,0.845,0.884,-4.506,0.0759,0.0128,2.1e-06,0.203,0.904,6.0,0.0,104.536,257400.0
In Da Club,50 Cent,Hip Hop,4RY96Asd9IefaL3X4LOLZ8,In Da Club,Get Rich Or Die Tryin',73.0,N,2003-02-06,0.904,0.72,-2.776,0.348,0.259,0.0,0.0749,0.805,6.0,0.0,90.062,193467.0
Hypnotize,The Notorious B.I.G.,Hip Hop,6Tsu3OsuMz4KEGKbOYd6A0,Hypnotize - 2007 Remaster,Greatest Hits,68.0,N,2007-03-02,0.895,0.694,-4.384,0.275,0.176,0.0,0.292,0.632,9.0,1.0,93.944,230000.0
Alright,Kendrick Lamar,Hip Hop,3iVcZ5G6tvkXZkZKlMpIUs,Alright,To Pimp A Butterfly,79.0,N,2015-03-16,0.796,0.766,-5.974,0.238,0.0742,0.0,0.0827,0.558,7.0,1.0,110.034,219333.0
No Role Modelz,J. Cole,Hip Hop,68Dni7IE4VyPkTOH9mRWHr,No Role Modelz,2014 Forest Hills Drive,85.0,N,2014-12-09,0.69,0.521,-8.492,0.339,0.324,0.0,0.0534,0.494,10.0,0.0,100.028,292799.0
99 Problems,JAY-Z,Hip Hop,7sLpSWxQazJzDVG6YGzlVs,99 Problems,The Black Album,62.0,N,2003-11-14,0.494,0.887,-4.297,0.398,0.00661,0.0,0.103,0.548,6.0,0.0,89.554,234627.0
California Love,2Pac ft. Dr. Dre,Hip Hop,4DLVB91nzswc4wD7EchmXs,"California Love (remix) (ft. Dr. Dre, Roger Troutman) - Remix",All Eyez On Me,50.0,Y,1996-02-13,0.635,0.844,-4.2,0.0741,0.00671,0.0,0.487,0.649,5.0,1.0,91.652,385880.0
The Real Slim Shady,Eminem,Hip Hop,3yfqSUWxFvZELEM4PmlwIR,The Real Slim Shady,The Marshall Mathers LP,84.0,N,2000-05-23,0.949,0.661,-4.244,0.0572,0.0302,0.0,0.0454,0.76,5.0,0.0,104.504,284200.0
Ms. Jackson,OutKast,Hip Hop,0I3q5fE6wg7LIfHGngUTnV,Ms. Jackson,Stankonia,81.0,N,2000-10-31,0.843,0.806,-5.946,0.269,0.143,0.0,0.0771,0.613,4.0,0.0,94.948,270507.0
Forgot About Dre,Dr. Dre ft. Eminem,Hip Hop,1qcCrFI5UZlArpctKOCUUO,Forgot About Dre (made popular by Dr. Dre ft. Eminem) [vocal version],Hip Hop & Rap Hits 10 - Party Tyme (Vocal Versions),0.0,N,2024-07-12,0.886,0.715,-9.569,0.0486,0.314,0.0,0.113,0.906,7.0,0.0,134.037,216108.0
It Was A Good Day,Ice Cube,Hip Hop,2qOm7ukLyHUXWyR4ZWLwxA,It Was A Good Day,The Predator,78.0,N,1992-11-17,0.798,0.744,-5.328,0.136,0.33,0.000106,0.292,0.794,7.0,0.0,82.356,260000.0
Stan,Eminem,Hip Hop,3UmaczJpikHgJFyBTAJVoz,Stan,The Marshall Mathers LP,79.0,Y,2000-05-23,0.78,0.768,-4.325,0.238,0.0371,2.34e-06,0.518,0.507,6.0,0.0,80.063,404107.0
N.Y. State of Mind,Nas,Hip Hop,0trHOzAhNpGCsGBEu7dOJo,N.Y. State of Mind,Illmatic,71.0,N,1994-04-19,0.665,0.91,-4.682,0.223,0.0394,0.0,0.227,0.887,6.0,0.0,84.099,293973.0
Hotline Bling,Drake,Hip Hop,0wwPcA6wtMf6HUMpIRdeP7,Hotline Bling,Views,75.0,N,2016-05-06,0.891,0.628,-7.863,0.0551,0.00258,0.00019,0.0504,0.552,2.0,1.0,134.966,267067.0
Ruff Ryders' Anthem,DMX,Hip Hop,1BKT2I9x4RGKaKqW4up34s,Ruff Ryders' Anthem,It's Dark And Hell Is Hot,69.0,N,1998-05-01,0.88,0.577,-8.093,0.301,0.0564,1.02e-06,0.201,0.74,10.0,0.0,90.993,214440.0
Work It,Missy Elliott,Hip Hop,3jagJCUbdqhDSPuxP8cAqF,Work It,Under Construction,68.0,N,2002-11-12,0.884,0.677,-5.603,0.283,0.0778,0.0,0.0732,0.584,1.0,1.0,101.868,263227.0
Through the Wire,Kanye West,Hip Hop,4mmkhcEm1Ljy1U9nwtsxUo,Through The Wire,The College Dropout,74.0,N,2004-02-10,0.571,0.739,-6.11,0.247,0.00865,5.21e-06,0.158,0.66,7.0,1.0,83.089,221227.0
Good Kid,Kendrick Lamar,Hip Hop,5vuJuBqwzHJgCA1ysRfwxZ,good kid,"good kid, m.A.A.d city (Deluxe)",57.0,N,2012,0.451,0.831,-8.641,0.308,0.0623,0.0,0.185,0.41,5.0,0.0,176.173,214120.0
Gold Digger,Kanye West ft. Jamie Foxx,Hip Hop,7eyGVYDYGLTBY5JP0NtmHZ,Gold Digger (made popular by Kanye West ft. Jamie Foxx) [vocal version],Pop Party Pack 2 - Party Tyme (Vocal Versions),0.0,N,2024-02-16,0.833,0.705,-10.071,0.188,0.122,0.0,0.0426,0.945,6.0,1.0,92.023,208099.0
The Message,Grandmaster Flash & The Furious Five,Hip Hop,5DuTNKFEjJIySAyJH1yNDU,The Message (feat. Melle Mel & Duke Bootee),The Message,48.0,Y,1982-10-01,0.947,0.607,-10.58,0.202,0.0249,4.76e-06,0.0861,0.732,10.0,0.0,100.619,431800.0
Run This Town,JAY-Z ft. Rihanna & Kanye West,Hip Hop,715GIaCHfKsfg2fD16Khc9,Run This Town (Originally Performed by Jay Z Ft. Rihanna & Kanye West) - Karaoke Version,"Karaoke Picks from 2009, Vol. 6",0.0,N,2021-09-17,0.575,0.561,-11.727,0.0412,0.00358,0.763,0.0446,0.695,1.0,1.0,169.864,276678.0
Jesus Walks,Kanye West,Hip Hop,5g1vtHqi9uV7xtYeCcFOBx,Jesus Walks,The College Dropout,69.0,N,2004-02-10,0.637,0.834,-4.686,0.323,0.614,0.0,0.317,0.715,3.0,0.0,87.312,193733.0
Mercy,"Kanye West, Big Sean, Pusha T, 2 Chainz",Hip Hop,4qikXelSRKvoCqFcHLB2H2,Mercy,Mercy,68.0,Y,2012-01-01,0.563,0.496,-9.381,0.406,0.0685,5.8e-05,0.173,0.426,6.0,0.0,139.993,329320.0
XO Tour Llif3,Lil Uzi Vert,Hip Hop,7GX5flRQZVHRAGd6B4TmDO,XO Tour Llif3,Luv Is Rage 2,81.0,N,2017-08-25,0.732,0.75,-6.366,0.231,0.00264,0.0,0.109,0.401,11.0,0.0,155.096,182707.0
Mask Off,Future,Hip Hop,0VgkVdmE4gld66l8iyGjgx,Mask Off,FUTURE,82.0,N,2017-06-30,0.833,0.434,-8.795,0.431,0.0102,0.0219,0.165,0.281,2.0,1.0,150.062,204600.0
One Mic,Nas,Hip Hop,6MMuI4k4Vs5ghtDH5i2hBg,One Mic,Stillmatic,47.0,N,2001-12-18,0.783,0.608,-5.742,0.361,0.0574,0.0,0.102,0.429,0.0,0.0,91.672,268667.0
Lollipop,Lil Wayne ft. Static Major,Hip Hop,4P7VFiaZb3xrXoqGwZXC3J,Lollipop,Tha Carter III,67.0,Y,2008-06-10,0.829,0.428,-9.469,0.0831,0.056,0.00413,0.137,0.45,0.0,1.0,148.075,299333.0
How We Do,The Game ft. 50 Cent,Hip Hop,54eTPhuDWXttDGokFRrcKs,How We Do (made popular by The Game ft. 50 Cent) [backing version],Hip Hop & Rap Hits 5 - Party Tyme (Backing Versions),0.0,N,2023-09-08,0.713,0.598,-9.489,0.309,0.0135,0.308,0.0341,0.777,0.0,1.0,195.819,239788.0
The Way I Am,Eminem,Hip Hop,23wfXwnsPZYe5A1xXRHb3J,The Way I Am,The Marshall Mathers LP,72.0,N,2000-05-23,0.785,0.871,-2.692,0.265,0.144,0.0,0.309,0.315,4.0,0.0,87.248,290427.0
Swimming Pools (Drank),Kendrick Lamar,Hip Hop,6REbwUNlppTfcnV4d4ZoZi,Swimming Pools (Drank),Swimming Pools (Drank),78.0,N,2012-01-01,0.693,0.445,-5.892,0.257,0.00625,0.000234,0.0899,0.199,8.0,1.0,74.044,247800.0
Worst Behavior,Drake,Hip Hop,48RN2EOOyG2Gs5Pyla7ZJj,Worst Behavior,Nothing Was The Same,53.0,N,2013-01-01,0.78,0.799,-6.359,0.15,0.158,0.0,0.209,0.414,9.0,1.0,109.944,270187.0
Black Skinhead,Kanye West,Hip Hop,722tgOgdIbNe3BEyLnejw4,Black Skinhead,Yeezus,71.0,N,2013-06-18,0.766,0.809,-6.123,0.279,0.0011,0.0,0.168,0.325,1.0,1.0,130.127,188013.0
Hard Knock Life (Ghetto Anthem),JAY-Z,Hip Hop,5Tl0HJvynZtKdSUMKbFVVX,Hard Knock Life (Ghetto Anthem),Vol.2... Hard Knock Life,65.0,N,1998-11-29,0.884,0.679,-5.857,0.282,0.0957,0.00209,0.0289,0.591,10.0,0.0,76.993,238467.0
Bodak Yellow,Cardi B,Hip Hop,6KBYefIoo7KydImq1uUQlL,Bodak Yellow,Invasion of Privacy,69.0,N,2018-04-06,0.926,0.703,-6.337,0.103,0.0659,0.0,0.231,0.485,11.0,0.0,125.022,223713.0
Old Town Road,Lil Nas X,Hip Hop,0F7FA14euOIX8KcbEturGH,Old Town Road,7 EP,71.0,N,2019-06-21,0.907,0.53,-6.112,0.127,0.0578,2.23e-06,0.101,0.507,1.0,1.0,135.998,113000.0
